Song Title,Artist,Spotify URI,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Tempo
Seven (feat. Latto) (Explicit Ver.),Jung Kook,7x9aauaA9cu6tyfpHnqDLo,0.311,0.802,0.832,0,0.0815,0.0434,0.89,124.997
Like Crazy,Jimin,3Ua0m0YmEjrMi9XErKcNiR,0.0025,0.629,0.733,0,0.357,0.0419,0.362,120.001
Super Shy,NewJeans,5sdQOyqq2IDhvmx2lHOpwd,0.18,0.776,0.817,3.44E-05,0.146,0.0748,0.515,149.921
ETA,NewJeans,56v8WEnGzLByGsDAXDiv4d,0.108,0.812,0.749,0,0.0599,0.0397,0.841,134.971
New Jeans,NewJeans,6rdkCkjk6D12xRpdMXy0I2,0.51,0.807,0.721,0.00216,0.115,0.0508,0.532,134.014
Like Crazy (English Version),Jimin,0u8rZGtXJrLtiSe34FPjGG,0.00306,0.623,0.755,0,0.387,0.0415,0.32,119.957
Cool With You,NewJeans,02wk5BttM0QL38ERjLPQJB,0.653,0.752,0.65,0.00136,0.105,0.12,0.532,134.993
Set Me Free Pt.2,Jimin,59hBR0BCtJsfIbV9VzCVAp,0.115,0.585,0.815,0,0.124,0.0565,0.564,132.09
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Kodak Black,1vvcEHQdaUTvWt0EIUYcFK,0.129,0.715,0.681,0,0.152,0.113,0.277,84.924
ASAP,NewJeans,5fpyAakgFOm4YTXkgfPzvV,0.466,0.934,0.486,3.73E-05,0.0963,0.164,0.372,130.052
Get Up,NewJeans,1wUnuiXMMvhudmzvcCtlZP,0.634,0.525,0.526,0.127,0.103,0.0534,0.562,85.274
OMG,NewJeans,65FftemJ1DbbZ45DUfHJXE,0.357,0.804,0.771,3.07E-06,0.108,0.0433,0.739,126.956
Ditto,NewJeans,3r8RuvgbX9s7ammBn07D3W,0.027,0.814,0.641,0,0.0993,0.111,0.183,133.854
Still With You,Jung Kook,0eFMbKCRw8KByXyWBw8WO7,0.0899,0.529,0.469,1.53E-05,0.831,0.0358,0.344,87.864
I AM,IVE,70t7Q6AYG6ZgTYmJWcnkUM,0.0115,0.683,0.875,0,0.084,0.0549,0.384,122.002
